molecule_chembl_id,canonical_smiles,standard_value
CHEMBL252387,COc1ccc(OC)c(-c2nnc3n2N=C(c2ccc(OC)c(OC)c2)CS3)c1,1700.0
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,
CHEMBL572557,N#Cc1c(-c2ccccc2O)cc(-c2ccc(Br)cc2)[nH]c1=O,
CHEMBL572792,N#Cc1c(-c2ccccc2Cl)cc(-c2ccc(Br)cc2)[nH]c1=O,
CHEMBL583742,N#Cc1c(-c2cccc(Cl)c2)cc(-c2ccc(Br)cc2)[nH]c1=O,
CHEMBL575871,COc1ccc(OC)c(-c2cc(-c3ccc(Br)cc3)[nH]c(=O)c2C#N)c1,
CHEMBL574381,COc1ccc(-c2cc(-c3ccc(Br)cc3)[nH]c(=O)c2C#N)c(OC)c1,
CHEMBL573694,N#Cc1c(-c2ccccc2O)cc(-c2ccc(Br)cc2)[nH]c1=N,
CHEMBL572554,N#Cc1c(-c2ccccc2Cl)cc(-c2ccc(Br)cc2)[nH]c1=N,
CHEMBL583188,N#Cc1c(-c2cccc(Cl)c2)cc(-c2ccc(Br)cc2)[nH]c1=N,
CHEMBL575478,COc1ccc(OC)c(-c2cc(-c3ccc(Br)cc3)[nH]c(=N)c2C#N)c1,
CHEMBL575477,COc1ccc(-c2cc(-c3ccc(Br)cc3)[nH]c(=N)c2C#N)c(OC)c1,
CHEMBL575676,N#Cc1c(-c2ccccc2O)cc(-c2cccc(Br)c2)[nH]c1=O,
CHEMBL573464,N#Cc1c(-c2ccccc2O)cc(-c2cccc(Br)c2)[nH]c1=N,
CHEMBL583735,N#Cc1c(-c2ccccc2O)cc(-c2ccccc2Br)[nH]c1=O,
CHEMBL575051,N#Cc1c(-c2ccccc2O)cc(-c2ccccc2Br)[nH]c1=N,
CHEMBL575462,N#Cc1c(-c2cccc(Cl)c2)cc(-c2ccccc2)[nH]c1=O,
CHEMBL573247,N#Cc1c(-c2ccsc2)cc(-c2ccccc2)[nH]c1=O,
CHEMBL584207,N#Cc1c(-c2cccc(Cl)c2)cc(-c2ccccc2)[nH]c1=N,
CHEMBL571271,N#Cc1c(-c2ccsc2)cc(-c2ccccc2)[nH]c1=N,
CHEMBL583122,N#Cc1c(-c2ccccc2O)cc(-c2ccsc2)[nH]c1=O,
CHEMBL570101,CCOc1ccc(-c2cc(-c3ccsc3)[nH]c(=O)c2C#N)cc1,
CHEMBL576858,CCOc1ccccc1-c1cc(-c2ccsc2)[nH]c(=O)c1C#N,
CHEMBL571949,COc1ccc(-c2cc(-c3ccsc3)[nH]c(=O)c2C#N)cc1,
CHEMBL574183,COc1ccccc1-c1cc(-c2ccsc2)[nH]c(=O)c1C#N,
CHEMBL572744,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccsc2)[nH]c1=O,
CHEMBL585366,N#Cc1c(-c2ccccc2O)cc(-c2ccsc2)[nH]c1=N,
CHEMBL572789,CCOc1ccc(-c2cc(-c3ccsc3)[nH]c(=N)c2C#N)cc1,13300.0
CHEMBL572782,CCOc1ccccc1-c1cc(-c2ccsc2)[nH]c(=N)c1C#N,
CHEMBL583180,COc1ccc(-c2cc(-c3ccsc3)[nH]c(=N)c2C#N)cc1,
CHEMBL575872,COc1ccccc1-c1cc(-c2ccsc2)[nH]c(=N)c1C#N,
CHEMBL573660,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccsc2)[nH]c1=N,
CHEMBL572789,CCOc1ccc(-c2cc(-c3ccsc3)[nH]c(=N)c2C#N)cc1,13500.0
CHEMBL583914,C[C@@H]1CN(Cc2ccc3nccnc3c2)C[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,1000.0
CHEMBL551052,CCCOCCn1c(=O)c(NCCN2CCOCC2)nc2cnc(-c3ccc(OC)nc3)cc21,2000.0
CHEMBL567470,CCCOCCn1c(=O)c(N[C@H]2CC[C@H](O)CC2)nc2cnc(-c3ccc(OC)nc3)cc21,2000.0
CHEMBL570855,COc1ccccc1-c1cc(-c2ccc(Br)cc2)[nH]c(=N)c1C#N,
CHEMBL569786,N#Cc1c(-c2cccs2)cc(-c2ccc(Br)cc2)[nH]c1=N,
CHEMBL579275,N#Cc1c(-c2ccsc2)cc(-c2ccc(Br)cc2)[nH]c1=N,
CHEMBL571372,CCOc1ccccc1-c1cc(-c2ccc(Br)cc2)[nH]c(=N)c1C#N,
CHEMBL570145,CCOc1ccc(-c2cc(-c3ccc(Br)cc3)[nH]c(=N)c2C#N)cc1,
CHEMBL570507,COc1ccccc1-c1cc(-c2ccc3c(c2)OCO3)[nH]c(=N)c1C#N,
CHEMBL577098,N#Cc1c(-c2cccs2)cc(-c2ccc3c(c2)OCO3)[nH]c1=N,
CHEMBL570012,N#Cc1c(-c2ccsc2)cc(-c2ccc3c(c2)OCO3)[nH]c1=N,
CHEMBL570719,CCOc1ccccc1-c1cc(-c2ccc3c(c2)OCO3)[nH]c(=N)c1C#N,
CHEMBL578581,CCOc1ccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]c(=N)c2C#N)cc1,
CHEMBL567239,COc1ccccc1-c1cc(-c2ccc(Br)cc2)[nH]c(=O)c1C#N,
CHEMBL1163017,N#Cc1c(-c2cccs2)cc(-c2ccc(Br)cc2)[nH]c1=O,
CHEMBL578190,N#Cc1c(-c2ccsc2)cc(-c2ccc(Br)cc2)[nH]c1=O,
CHEMBL579236,CCOc1ccccc1-c1cc(-c2ccc(Br)cc2)[nH]c(=O)c1C#N,
CHEMBL577291,CCOc1ccc(-c2cc(-c3ccc(Br)cc3)[nH]c(=O)c2C#N)cc1,
CHEMBL585014,COc1ccccc1-c1cc(-c2ccc3c(c2)OCO3)[nH]c(=O)c1C#N,
CHEMBL565532,N#Cc1c(-c2cccs2)cc(-c2ccc3c(c2)OCO3)[nH]c1=O,
CHEMBL566159,N#Cc1c(-c2ccsc2)cc(-c2ccc3c(c2)OCO3)[nH]c1=O,
